page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
1,1-5,,,,,THE UNIVERSITY OF MELBOURNE ARCHIVES,5/5,,,,,,,"THE UNIVERSITY OF MELBOURNE ARCHIVES
NAME OF COLLECTION
Lewis, Orr & Gibson
ACCESSION NO 1962.0001
CATEGORY Business, organisations
ACTIVITY Lawyers
DATE RANGE 1837-1952
SIZE OF COLLECTION 4 m. (29 archive boxes)
HISTORICAL NOTE Lewis, Orr and Gibson's lineage goes back to the earliest days of the Port Phillip settlement when R.E. Lewis joined K.E. Brodribb and Thomas Crisp's legal partnership in 1860. Subsequent partners included Henry Hedderwick, W.J. Fookes and Lewis' son, R.R. Lewis. Their clients included many early Melbourne notables and businesses and many large landowners throughout Victoria and New South Wales.
DATE OF TRANSFER March, 1962
ACCESS CONDITIONS Open
DESCRIPTION Legal documents and some accompanying correspondence, 1837-1952; some business and family documents (along with numerous legal documents) of James G. Robertson and family of Mt. Mitchell and other estates.
NOTE ON COLLECTIONS
NOTE ON LISTING
LISTED BY Susan Priestley DATE October, 1962
LISTED BY Frank Strahan DATE July, 1962",4/5,1837-1952,4/5,,,1837-01-01,4/5,1952-01-01,4/5,[]
1,1-5,,,,,"R. E. LEWIS, ORR & GIBSON.",4/5,,,,,0 ),2/5,"R. E. LEWIS, ORR & GIBSON.
406 Lonsdale Street, Melbourne, C.1.
Solicitors.
March 1962.
Sands & McDougall's (formerly Sands & Kenny's) Melbourne Directories give the following information:
1857: Robert E. Lewis, solicitor, listed at 192 Napier-st., Collingwood. Edw. Ladner, storekeeper, at same address.
1858: Address 50 Napier-st, with Letchford & Raper, aerated water manufacturers and wine and spirit merchants.
1859: Address 144 Napier-st., between Condell and Moor Sts. Described as notary public.
1860: Above address and of Brodribb, Crisp & Lewis, solicitors, 51 Little Collins-st., west. Note: K.E. Brodribb listed in 1855 Directory. In 18? (1856 missing) the firm is Brodribb & Crisp.
1866: Private address listed as Victoria Pde., Fitzroy.
1867: Firm becomes Crisp & Lewis, 51 Chancery Lane (= Lit. Collins St.).
1868: Private address Barry-st., Carlton.
1870: Firm becomes Crisp, Lewis & Wilkes. (John Wilkes is new partner).
1871: R.E. Lewis noted as absent in England.
1874: Private address is Malvern-lodge, Malvern.
1875: Firm again becomes Crisp & Lewis.
1877: Firm becomes Crisp, Lewis & Hedderwick at 41 & 43 Queen St. Henry Hedderwick new partner.
1881: Missing.
1882: Firm at 51 & 53 Lit. Collins-st., west.
1884: Name of firm the same, but W.J. Fookes taken into partnership.
1886: Private residence at Dickens-st., St. Kilda.
1889: Firm at 414 Lit. Collins-st.
1890: Thos. Crisp no longer in partnership. Lewis' private residence St. James' Park, Shakespeare Grove, Hawthorn.
1901: Firm becomes Lewis, Hedderwick & Fookes, with R.E. Lewis jnr. in partnership.
1907: Firm becomes R.E. Lewis & Son, still at 414 Lit. Collins Street.
1928: Firm becomes Lewis, R.E. & Beacham Kiddle.
1937: Firm becomes R.E. Lewis.",3/5,1857,4/5,1937,4/5,1857-01-01,4/5,1937-01-01,4/5,[]
1,1-5,,,,,,,,,,,0 ),2/5,"1938: Firm becomes R.E. Lewis & Son.
1942: Change of address to 318 Collins St.
1943: Change to 379 Collins St.
1957: Firm becomes R.E. Lewis, Orr & Gibson. Partners are Radcliffe Lewis, Wm. G. Orr and J.S. Gibson.
1959: Address changes to 406 Lonsdale St. in March.
---0000000---
LIST OF RECORDS
Note: The records are listed in alphabetical order according to the name of the firm's client. Whenever it has survived, the filing number of the firm is recorded after the quantity description of the document. It seems probable that there are several series of these filing numbers, but it was not possible to differentiate between them. A comprehensive index of all parties to the documents and places mentioned therein will be found at the end of the list of records.",4/5,1938,4/5,1959,4/5,1938-01-01,4/5,1959-01-01,4/5,[]
1,1-5,,,,,"A 'BECKETT, Thomas Turner.",4/5,,,Unit 1,4/5,1.,5/5,"A 'BECKETT, Thomas Turner.
Bond.
William Arthur Callender A'BECKETT to Thomas George Washington Johnston ROBINSON, both of Melbourne. a'Beckett to pay annuity in return for title to allot. 3, section 4, and part of allot. 8, sect.20, City of Melbourne. T.T. a'Beckett and Theyre Weigall to be trustees.
1860, 17 Dec.
1 sheet. 1802.",4/5,"1860, 17 Dec.",5/5,,,1860-12-17,5/5,,,[]
1,1-5,,,,,ACME CYCLE COMPANY,5/5,,,,,2.,5/5,"ACME CYCLE COMPANY
Dissolution of Partnership.
Sydney Wm. Annand DARBY, Melbourne, importer and Frank BENNETT, Melbourne, importer.
Firm of Acme Cycle Co. to be dissolved on 31 Dec. 1914.
1914, 24 Dec.
4 sheets. 898.",5/5,"1914, 24 Dec.",5/5,,,1914-12-24,5/5,,,[]
1,1-5,,,,,"ADAMS, Alexander James.",4/5,,,,,3.,5/5,"ADAMS, Alexander James.
Probate with Will.
Wife Adah Emilie Adams (later Sherwood) to be executrix and beneficiary.
1894, 2 June
2 sheets. 10173.",4/5,"1894, 2 June",4/5,,,1894-06-02,4/5,,,[]
1,1-5,,,,,"ADAMS, Josiah Enos.",5/5,,,Unit 1,4/5,4.,5/5,"ADAMS, Josiah Enos.
Mortgage.
Wm. Henry FISH and Henry WRATTEN, both of Bushy Park Farm, Mulgrave, farmers to J.E. ADAMS, S. Yarra, gentleman.
Stock and chattels of farm; inventory included.
1881, 12 Dec.
3 sheets. 3509.",5/5,"1881, 12 Dec.",5/5,,,1881-12-12,5/5,,,[]
1,1-5,,,,,ADAMS & FISH,5/5,"Note: Documents listed below refer to a piece of land, 96 acres being portion 23A, parish of Prahran, co. Bourke.",5/5,Unit 1,4/5,5.,5/5,"ADAMS & FISH
Note: Documents listed below refer to a piece of land, 96 acres being portion 23A, parish of Prahran, co. Bourke.
(1) Grant by Purchase.
Matthew NEAVE.
1849, 20 Oct.
4 sheets.
(2) Mortgage.
Matthew NEAVE, Melb., licensed victualler, to Thos. RITCHIE, Scone V.D.L., gent.
1850, 8 April.
11 sheets.
(3) Release from Mortgage.
Rev. Robt. RUSSELL, Evandale, V.D.L., minister of Presbyterian Church; Richard Helen McKENZIE, Launceston, merchant; Wm. GIBSON, Eskdale, V.D.L., gent.; all executors of Thos. Ritchie to Matthew NEAVE.
1852, 6 Feb.
7 sheets.
(4) Result of search re Monk deceased.
Gives account of how land came into possession of Alfred MONK.
1875, 7 June.
7 sheets.
(5) Bills of Costs, Frederick BAYNE, 64 Chancery Lane to Mrs. Monk.
For legal advice re sale of property in Prahran.
1856, Feb. - Aug.
2 sheets.
(6) Bill of Costs, W.C.C. HUMPHREYS to James MONK'S administrators.
1853, Apl. - Dec.
1 sheet.
(7) Letters of Administration.
Estate of James MONK, Melb., shoemaker to wife Elizabeth.
1853, 5 May.
1 sheet.
(8) Receipts from Gardiner District Road Board for rates assessed on properties described as ""wood cottage"", ""house and land"",""houses and land"".
1857 - 1860.
7 sheets.
(9) Papers relating to lease of land and cottage, Alfred MONK to Thos. STOKES.
1868 - 1871.
3 sheets.
(10) Letter, Geo. CULLEN, 13 Swanston St., Melb. to Alfred MONK.
Requests title deed to land on behalf of Thos. Stokes.
30 Sept. 1870.
1 sheet.
Note: Filing number of above appears to be 1806. Although no envelope found, the name ""Adams & Fish"" is found on several documents.",4/5,"1849, 20 Oct.",4/5,1871,4/5,1849-10-20,4/5,1871-01-01,4/5,[]
1,1-5,,,,,"ADAMSON, William.",5/5,Note: Filing numbers are 1799 and 1800.,5/5,Unit 22,4/5,6.,5/5,"ADAMSON, William.
Note: Filing numbers are 1799 and 1800.
(1) Award of Arbitrators.
Robt. WALKER, grocer; Geo. Thompson BAID, gent.; and John BENN, merchant; all of Melbourne.
In dissolution of partnership of James Farquharson McKENZIE and Robt. HARPER, coffee roasters, Lygon St., Melbourne.
1860, 16 June.
4 sheets.
(2) Deed of Assignment and Dissolution of Partnership.
Harper and McKenzie.
Includes schedules of effects of their coffee roasting and general grinding business.
1860, 13 Aug.
4 sheets.
(3) Assignment of Lease.
Harper to McKenzie.
Allot. 6, Sect. 17, fronting Lygon St., parish of Jika Jika, co. Bourke.
1860, 13 Aug.
3 sheets.
(4) Assignment of leaseholds, goods and chattels.
McKenzie to Harper.
Grinders etc., and property leased from Frederick Griffin.
1860, 14 Aug.
4 sheets.",4/5,"1860, 16 June",4/5,"1860, 14 Aug.",4/5,1860-06-16,4/5,1860-08-14,4/5,[]
2,6-10,,,,,,,,,Unit 22,5/5,5,2/5,"Re-assignment. Harper to McKenzie. Goods and leases of (4) above. 1860, 17 Dec. 1 sheet.",3/5,"1860, 17 Dec.",5/5,,,1860-12-17,5/5,,,[]
